Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.344e-04	1.073e-01	1.218e-01	1.150e-04	1.305e-04	80	30	50	0.375	935.006	935.625	12.534	14.225
3.349e-04	4.897e-04	1.279e-01	1.543e-01	1.371e-04	1.652e-04	128	46	82	0.359	935.628	936.653	14.318	17.253
4.905e-04	6.064e-04	1.588e-01	1.763e-01	1.701e-04	1.888e-04	126	44	82	0.349	936.657	937.303	17.255	19.153
6.073e-04	7.508e-04	1.819e-01	2.020e-01	1.947e-04	2.161e-04	124	42	82	0.339	937.308	938.006	19.156	21.267
7.519e-04	9.282e-04	2.087e-01	2.317e-01	2.233e-04	2.478e-04	122	40	82	0.328	938.011	938.760	21.271	23.602
9.296e-04	1.047e-03	2.400e-01	2.546e-01	2.566e-04	2.722e-04	120	38	82	0.317	938.765	939.211	23.607	25.041
1.049e-03	1.114e-03	2.591e-01	2.670e-01	2.770e-04	2.854e-04	122	38	84	0.311	939.217	939.449	25.059	25.819
1.116e-03	1.148e-03	2.716e-01	2.754e-01	2.903e-04	2.943e-04	124	38	86	0.306	939.455	939.563	25.838	26.198
