rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.312e-03	0.005	8.272e-03	3.857e-08	2.758e-04	3.155e-08	2.776e-04	4.579e+49	2.758e-04
12.452	12.496	4.355e-02	9.155e-02	0.058	9.944e-02	1.482e-06	1.060e-02	1.211e-06	1.066e-02	1.759e+51	1.060e-02
12.421	12.452	3.172e-02	6.667e-02	0.097	1.660e-01	2.256e-06	1.613e-02	1.843e-06	1.622e-02	2.679e+51	1.613e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.747e-01	5.857e-06	4.188e-02	4.781e-06	4.207e-02	6.954e+51	4.188e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.958e-01	9.862e-06	7.052e-02	8.042e-06	7.076e-02	1.171e+52	7.052e-02
12.270	12.311	4.080e-02	8.577e-02	0.282	4.818e-01	9.347e-06	6.683e-02	7.614e-06	6.700e-02	1.110e+52	6.683e-02
12.221	12.270	4.896e-02	1.029e-01	0.342	5.851e-01	1.412e-05	1.010e-01	1.149e-05	1.011e-01	1.677e+52	1.010e-01
12.167	12.221	5.357e-02	1.126e-01	0.408	6.982e-01	1.964e-05	1.405e-01	1.597e-05	1.405e-01	2.332e+52	1.405e-01
12.135	12.167	3.253e-02	6.838e-02	0.448	7.672e-01	1.410e-05	1.008e-01	1.145e-05	1.008e-01	1.674e+52	1.008e-01
12.100	12.134	3.463e-02	7.280e-02	0.491	8.407e-01	1.709e-05	1.222e-01	1.387e-05	1.221e-01	2.029e+52	1.222e-01
12.062	12.099	3.702e-02	7.781e-02	0.537	9.194e-01	2.083e-05	1.489e-01	1.689e-05	1.486e-01	2.473e+52	1.489e-01
12.042	12.062	2.064e-02	4.338e-02	0.563	9.635e-01	1.296e-05	9.264e-02	1.050e-05	9.240e-02	1.538e+52	9.264e-02
12.030	12.041	1.140e-02	2.397e-02	0.577	9.882e-01	7.581e-06	5.421e-02	6.143e-06	5.405e-02	9.001e+51	5.421e-02
12.024	12.030	5.310e-03	1.116e-02	0.584	1.000e+00	3.666e-06	2.622e-02	2.970e-06	2.613e-02	4.353e+51	2.622e-02
