Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.388e-10	5.857e-09	4.615e-06	6.295e-12	4.960e-09	56	26	30	0.464	930.414	930.603	0.518	0.954
3.393e-10	4.160e-08	4.758e-06	1.470e-04	5.113e-09	1.579e-07	62	28	34	0.452	930.604	931.306	0.955	2.583
4.166e-08	4.393e-08	1.480e-04	1.539e-04	1.590e-07	1.653e-07	58	26	32	0.448	931.306	931.320	2.582	2.615
4.400e-08	3.565e-07	1.582e-04	7.466e-04	1.699e-07	8.015e-07	64	28	36	0.438	931.321	932.040	2.617	4.335
3.570e-07	4.137e-07	7.708e-04	8.603e-04	8.274e-07	9.234e-07	66	28	38	0.424	932.041	932.106	4.337	4.496
4.143e-07	1.028e-06	8.782e-04	1.731e-03	9.426e-07	1.857e-06	86	36	50	0.419	932.107	932.556	4.507	5.637
1.030e-06	5.572e-06	1.790e-03	6.332e-03	1.920e-06	6.788e-06	84	34	50	0.405	932.557	933.686	5.636	8.565
5.581e-06	1.766e-05	6.566e-03	1.557e-02	7.038e-06	1.668e-05	82	32	50	0.390	933.687	934.747	8.564	11.410
1.769e-05	5.809e-05	1.620e-02	3.954e-02	1.735e-05	4.230e-05	80	30	50	0.375	934.748	936.160	11.408	15.347
5.817e-05	7.550e-05	4.057e-02	4.935e-02	4.340e-05	5.277e-05	82	30	52	0.366	936.162	936.523	15.352	16.385
7.561e-05	1.203e-04	5.228e-02	7.408e-02	5.591e-05	7.917e-05	126	44	82	0.349	936.525	937.191	16.446	18.466
1.204e-04	1.849e-04	7.636e-02	1.054e-01	8.161e-05	1.125e-04	124	42	82	0.339	937.193	937.861	18.465	20.552
1.852e-04	2.794e-04	1.088e-01	1.482e-01	1.162e-04	1.582e-04	122	40	82	0.328	937.864	938.553	20.550	22.772
2.798e-04	4.220e-04	1.534e-01	2.089e-01	1.637e-04	2.228e-04	120	38	82	0.317	938.556	939.296	22.769	25.232
4.226e-04	4.876e-04	2.168e-01	2.413e-01	2.312e-04	2.574e-04	118	36	82	0.305	939.299	939.564	25.229	26.146
