rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	4.374e-03	9.201e-03	0.005	9.157e-03	3.409e-08	3.063e-04	2.788e-08	3.083e-04	4.047e+49	3.063e-04
12.450	12.496	4.596e-02	9.667e-02	0.062	1.054e-01	1.287e-06	1.156e-02	1.052e-06	1.163e-02	1.528e+51	1.156e-02
12.422	12.450	2.723e-02	5.729e-02	0.095	1.626e-01	1.543e-06	1.386e-02	1.261e-06	1.394e-02	1.832e+51	1.386e-02
12.370	12.422	5.183e-02	1.090e-01	0.159	2.715e-01	4.583e-06	4.118e-02	3.742e-06	4.137e-02	5.441e+51	4.118e-02
12.313	12.370	5.758e-02	1.211e-01	0.229	3.926e-01	7.757e-06	6.970e-02	6.326e-06	6.995e-02	9.209e+51	6.970e-02
12.260	12.313	5.277e-02	1.110e-01	0.294	5.038e-01	9.812e-06	8.817e-02	7.992e-06	8.838e-02	1.165e+52	8.817e-02
12.253	12.260	6.395e-03	1.345e-02	0.302	5.176e-01	1.402e-06	1.260e-02	1.141e-06	1.262e-02	1.665e+51	1.260e-02
12.215	12.253	3.799e-02	7.991e-02	0.349	5.980e-01	9.125e-06	8.199e-02	7.424e-06	8.210e-02	1.083e+52	8.199e-02
12.213	12.215	1.936e-03	4.073e-03	0.352	6.024e-01	5.120e-07	4.601e-03	4.164e-07	4.605e-03	6.078e+50	4.601e-03
12.172	12.213	4.071e-02	8.564e-02	0.402	6.886e-01	1.193e-05	1.072e-01	9.698e-06	1.072e-01	1.416e+52	1.072e-01
12.138	12.172	3.428e-02	7.211e-02	0.445	7.613e-01	1.168e-05	1.049e-01	9.486e-06	1.049e-01	1.386e+52	1.049e-01
12.105	12.137	3.196e-02	6.722e-02	0.484	8.293e-01	1.239e-05	1.114e-01	1.006e-05	1.113e-01	1.472e+52	1.114e-01
12.072	12.105	3.315e-02	6.973e-02	0.525	8.998e-01	1.455e-05	1.308e-01	1.181e-05	1.305e-01	1.728e+52	1.308e-01
12.037	12.072	3.504e-02	7.371e-02	0.569	9.744e-01	1.744e-05	1.567e-01	1.413e-05	1.563e-01	2.070e+52	1.567e-01
12.025	12.036	1.185e-02	2.494e-02	0.584	1.000e+00	6.497e-06	5.838e-02	5.263e-06	5.820e-02	7.713e+51	5.838e-02
