Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.351e-04	5.753e-02	6.467e-02	6.172e-05	6.937e-05	82	32	50	0.390	933.828	934.266	9.341	10.495
1.353e-04	1.793e-04	6.664e-02	7.653e-02	7.147e-05	8.206e-05	74	28	46	0.378	934.269	934.841	10.484	12.034
1.796e-04	2.168e-04	7.867e-02	8.633e-02	8.434e-05	9.254e-05	76	28	48	0.368	934.845	935.266	12.043	13.212
2.171e-04	3.605e-04	8.868e-02	1.139e-01	9.505e-05	1.220e-04	78	28	50	0.359	935.269	936.590	13.221	16.971
3.610e-04	4.295e-04	1.178e-01	1.284e-01	1.261e-04	1.374e-04	126	44	82	0.349	936.594	937.114	17.065	18.590
4.302e-04	5.187e-04	1.324e-01	1.452e-01	1.417e-04	1.554e-04	124	42	82	0.339	937.119	937.714	18.593	20.390
5.195e-04	6.254e-04	1.501e-01	1.645e-01	1.606e-04	1.760e-04	122	40	82	0.328	937.719	938.349	20.395	22.353
6.263e-04	7.608e-04	1.704e-01	1.877e-01	1.823e-04	2.007e-04	120	38	82	0.317	938.354	939.056	22.359	24.615
7.619e-04	8.700e-04	1.949e-01	2.082e-01	2.084e-04	2.225e-04	118	36	82	0.305	939.062	939.563	24.622	26.292
