rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.312e-03	0.005	8.272e-03	3.857e-08	2.710e-04	3.155e-08	2.728e-04	4.579e+49	2.710e-04
12.452	12.496	4.355e-02	9.155e-02	0.058	9.944e-02	1.482e-06	1.041e-02	1.211e-06	1.048e-02	1.759e+51	1.041e-02
12.421	12.452	3.172e-02	6.667e-02	0.097	1.660e-01	2.256e-06	1.585e-02	1.843e-06	1.594e-02	2.679e+51	1.585e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.747e-01	5.857e-06	4.116e-02	4.781e-06	4.135e-02	6.954e+51	4.116e-02
12.311	12.369	5.762e-02	1.211e-01	0.231	3.958e-01	9.862e-06	6.930e-02	8.042e-06	6.954e-02	1.171e+52	6.930e-02
12.284	12.311	2.703e-02	5.682e-02	0.265	4.529e-01	5.993e-06	4.211e-02	4.883e-06	4.222e-02	7.115e+51	4.211e-02
12.261	12.284	2.256e-02	4.743e-02	0.293	5.006e-01	5.776e-06	4.058e-02	4.703e-06	4.067e-02	6.857e+51	4.058e-02
12.252	12.261	9.302e-03	1.955e-02	0.304	5.205e-01	2.620e-06	1.841e-02	2.133e-06	1.845e-02	3.111e+51	1.841e-02
12.174	12.252	7.792e-02	1.638e-01	0.400	6.848e-01	2.696e-05	1.894e-01	2.193e-05	1.896e-01	3.201e+52	1.894e-01
12.143	12.173	3.092e-02	6.499e-02	0.439	7.504e-01	1.320e-05	9.273e-02	1.072e-05	9.270e-02	1.567e+52	9.273e-02
12.113	12.142	2.980e-02	6.264e-02	0.476	8.137e-01	1.437e-05	1.010e-01	1.166e-05	1.009e-01	1.706e+52	1.010e-01
12.081	12.112	3.096e-02	6.508e-02	0.514	8.795e-01	1.681e-05	1.181e-01	1.364e-05	1.179e-01	1.996e+52	1.181e-01
12.047	12.081	3.452e-02	7.256e-02	0.557	9.529e-01	2.119e-05	1.489e-01	1.718e-05	1.485e-01	2.516e+52	1.489e-01
12.024	12.046	2.201e-02	4.627e-02	0.584	1.000e+00	1.508e-05	1.059e-01	1.222e-05	1.056e-01	1.790e+52	1.059e-01
