Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	2.628e-07	1.597e-03	3.584e-03	1.717e-06	3.852e-06	56	26	30	0.464	930.348	930.438	0.597	0.861
2.632e-07	9.711e-06	3.717e-03	1.577e-02	3.995e-06	1.694e-05	62	28	34	0.452	930.438	931.318	0.866	3.007
9.725e-06	1.081e-05	1.629e-02	1.711e-02	1.750e-05	1.838e-05	64	28	36	0.438	931.319	931.379	3.009	3.156
1.083e-05	1.885e-05	1.752e-02	2.268e-02	1.882e-05	2.436e-05	88	38	50	0.432	931.380	931.751	3.189	4.105
1.887e-05	5.072e-05	2.337e-02	3.747e-02	2.510e-05	4.023e-05	86	36	50	0.419	931.752	932.727	4.101	6.541
5.080e-05	1.063e-04	3.874e-02	5.548e-02	4.159e-05	5.952e-05	84	34	50	0.405	932.728	933.825	6.538	9.343
1.064e-04	1.790e-04	5.753e-02	7.427e-02	6.172e-05	7.964e-05	82	32	50	0.390	933.828	934.855	9.341	12.045
1.793e-04	2.476e-04	7.729e-02	9.062e-02	8.287e-05	9.712e-05	80	30	50	0.375	934.858	935.617	12.044	14.113
2.479e-04	3.521e-04	9.468e-02	1.126e-01	1.015e-04	1.206e-04	78	28	50	0.359	935.621	936.558	14.113	16.775
3.526e-04	4.353e-04	1.164e-01	1.292e-01	1.247e-04	1.383e-04	126	44	82	0.349	936.562	937.191	16.868	18.711
4.359e-04	5.366e-04	1.332e-01	1.477e-01	1.426e-04	1.580e-04	124	42	82	0.339	937.196	937.865	18.715	20.734
5.374e-04	6.566e-04	1.526e-01	1.686e-01	1.633e-04	1.803e-04	122	40	82	0.328	937.870	938.564	20.739	22.896
6.576e-04	8.011e-04	1.746e-01	1.926e-01	1.867e-04	2.059e-04	120	38	82	0.317	938.569	939.300	22.902	25.251
8.023e-04	8.585e-04	2.000e-01	2.068e-01	2.138e-04	2.211e-04	118	36	82	0.305	939.306	939.565	25.259	26.120
