rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.496	12.500	3.955e-03	8.316e-03	0.005	8.276e-03	3.857e-08	2.750e-04	3.155e-08	2.768e-04	4.579e+49	2.750e-04
12.452	12.496	4.355e-02	9.159e-02	0.058	9.948e-02	1.482e-06	1.056e-02	1.211e-06	1.063e-02	1.759e+51	1.056e-02
12.421	12.452	3.172e-02	6.670e-02	0.097	1.660e-01	2.256e-06	1.609e-02	1.843e-06	1.617e-02	2.679e+51	1.609e-02
12.369	12.421	5.180e-02	1.089e-01	0.161	2.748e-01	5.857e-06	4.176e-02	4.781e-06	4.195e-02	6.954e+51	4.176e-02
12.311	12.369	5.762e-02	1.212e-01	0.231	3.960e-01	9.862e-06	7.031e-02	8.042e-06	7.055e-02	1.171e+52	7.031e-02
12.270	12.311	4.080e-02	8.581e-02	0.282	4.820e-01	9.347e-06	6.664e-02	7.614e-06	6.680e-02	1.110e+52	6.664e-02
12.222	12.270	4.779e-02	1.005e-01	0.340	5.829e-01	1.376e-05	9.807e-02	1.120e-05	9.822e-02	1.633e+52	9.807e-02
12.176	12.222	4.612e-02	9.698e-02	0.397	6.804e-01	1.663e-05	1.186e-01	1.352e-05	1.187e-01	1.975e+52	1.186e-01
12.139	12.176	3.705e-02	7.791e-02	0.443	7.589e-01	1.576e-05	1.124e-01	1.281e-05	1.124e-01	1.872e+52	1.124e-01
12.105	12.138	3.324e-02	6.991e-02	0.485	8.295e-01	1.620e-05	1.155e-01	1.315e-05	1.154e-01	1.923e+52	1.155e-01
12.071	12.105	3.436e-02	7.226e-02	0.527	9.026e-01	1.901e-05	1.356e-01	1.542e-05	1.353e-01	2.257e+52	1.356e-01
12.034	12.070	3.586e-02	7.540e-02	0.572	9.789e-01	2.253e-05	1.606e-01	1.826e-05	1.602e-01	2.675e+52	1.606e-01
12.024	12.034	9.706e-03	2.041e-02	0.584	1.000e+00	6.701e-06	4.778e-02	5.429e-06	4.763e-02	7.956e+51	4.778e-02
