rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.942e-07	3.006e-11	8.003e-07	4.364e+46	7.942e-07
12.452	12.490	3.794e-02	8.044e-02	0.059	1.018e-01	4.432e-09	9.577e-05	3.623e-09	9.647e-05	5.262e+48	9.577e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.232e-06	1.979e-10	5.269e-06	2.875e+47	5.232e-06
12.412	12.451	3.854e-02	8.172e-02	0.107	1.849e-01	3.315e-08	7.164e-04	2.708e-08	7.211e-04	3.936e+49	7.164e-04
12.409	12.412	3.452e-03	7.319e-03	0.111	1.923e-01	5.977e-09	1.291e-04	4.881e-09	1.300e-04	7.096e+48	1.291e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.392e-03	5.260e-08	1.400e-03	7.649e+49	1.392e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.014e-02	3.826e-07	1.019e-02	5.569e+50	1.014e-02
12.270	12.325	5.507e-02	1.168e-01	0.281	4.855e-01	1.224e-06	2.644e-02	9.970e-07	2.655e-02	1.453e+51	2.644e-02
12.198	12.270	7.236e-02	1.534e-01	0.370	6.392e-01	3.999e-06	8.641e-02	3.254e-06	8.663e-02	4.748e+51	8.641e-02
12.190	12.198	7.418e-03	1.573e-02	0.380	6.552e-01	6.458e-07	1.395e-02	5.250e-07	1.398e-02	7.667e+50	1.395e-02
12.170	12.190	1.987e-02	4.212e-02	0.404	6.976e-01	2.039e-06	4.406e-02	1.657e-06	4.413e-02	2.421e+51	4.406e-02
12.156	12.170	1.456e-02	3.087e-02	0.422	7.288e-01	1.829e-06	3.953e-02	1.486e-06	3.957e-02	2.172e+51	3.953e-02
12.152	12.156	4.054e-03	8.595e-03	0.427	7.376e-01	5.671e-07	1.225e-02	4.607e-07	1.227e-02	6.733e+50	1.225e-02
12.120	12.152	3.102e-02	6.577e-02	0.466	8.038e-01	5.338e-06	1.153e-01	4.334e-06	1.154e-01	6.337e+51	1.153e-01
12.084	12.120	3.609e-02	7.650e-02	0.510	8.808e-01	8.786e-06	1.899e-01	7.129e-06	1.898e-01	1.043e+52	1.899e-01
12.069	12.084	1.538e-02	3.261e-02	0.529	9.138e-01	4.764e-06	1.029e-01	3.863e-06	1.029e-01	5.656e+51	1.029e-01
12.059	12.069	9.431e-03	1.999e-02	0.541	9.342e-01	3.303e-06	7.137e-02	2.678e-06	7.130e-02	3.921e+51	7.137e-02
12.028	12.059	3.078e-02	6.526e-02	0.579	1.000e+00	1.299e-05	2.807e-01	1.053e-05	2.803e-01	1.542e+52	2.807e-01
