Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.353e-04	1.252e-01	1.552e-01	1.342e-04	1.663e-04	132	50	82	0.379	934.672	935.701	11.822	14.642
4.359e-04	4.897e-04	1.592e-01	1.685e-01	1.706e-04	1.806e-04	130	48	82	0.369	935.705	936.011	14.643	15.501
4.905e-04	6.291e-04	1.732e-01	1.958e-01	1.856e-04	2.097e-04	128	46	82	0.359	936.015	936.717	15.501	17.514
6.300e-04	7.365e-04	2.015e-01	2.176e-01	2.158e-04	2.330e-04	126	44	82	0.349	936.721	937.196	17.515	18.912
7.376e-04	8.868e-04	2.244e-01	2.458e-01	2.403e-04	2.631e-04	124	42	82	0.339	937.201	937.793	18.914	20.708
8.881e-04	1.088e-03	2.540e-01	2.809e-01	2.718e-04	3.005e-04	122	40	82	0.328	937.798	938.498	20.711	22.895
1.090e-03	1.184e-03	2.859e-01	2.978e-01	3.058e-04	3.185e-04	121	39	82	0.322	938.503	938.804	22.905	23.857
1.185e-03	1.226e-03	3.033e-01	3.084e-01	3.243e-04	3.298e-04	120	38	82	0.317	938.809	938.934	23.867	24.270
1.228e-03	1.446e-03	3.138e-01	3.404e-01	3.356e-04	3.638e-04	122	38	84	0.311	938.939	939.563	24.288	26.332
