rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.582e-04	2.336e-08	3.605e-04	3.390e+49	3.582e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.274e-02	8.306e-07	1.282e-02	1.206e+51	1.274e-02
12.444	12.448	3.257e-03	6.858e-03	0.068	1.169e-01	1.161e-07	1.457e-03	9.490e-08	1.465e-03	1.379e+50	1.457e-03
12.424	12.444	1.989e-02	4.187e-02	0.093	1.587e-01	8.521e-07	1.069e-02	6.962e-07	1.075e-02	1.012e+51	1.069e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.676e-01	3.341e-06	4.191e-02	2.728e-06	4.210e-02	3.967e+51	4.191e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.889e-01	5.709e-06	7.161e-02	4.655e-06	7.186e-02	6.778e+51	7.161e-02
12.261	12.315	5.328e-02	1.122e-01	0.292	5.013e-01	7.327e-06	9.191e-02	5.969e-06	9.213e-02	8.699e+51	9.191e-02
12.195	12.261	6.654e-02	1.401e-01	0.374	6.418e-01	1.221e-05	1.532e-01	9.936e-06	1.534e-01	1.450e+52	1.532e-01
12.147	12.194	4.784e-02	1.007e-01	0.434	7.432e-01	1.094e-05	1.373e-01	8.893e-06	1.373e-01	1.299e+52	1.373e-01
12.083	12.146	6.328e-02	1.332e-01	0.512	8.773e-01	1.720e-05	2.157e-01	1.396e-05	2.155e-01	2.042e+52	2.157e-01
12.077	12.083	5.968e-03	1.257e-02	0.520	8.905e-01	1.936e-06	2.428e-02	1.570e-06	2.423e-02	2.298e+51	2.428e-02
12.063	12.077	1.393e-02	2.932e-02	0.537	9.205e-01	4.708e-06	5.905e-02	3.817e-06	5.892e-02	5.589e+51	5.905e-02
12.052	12.062	1.016e-02	2.140e-02	0.550	9.426e-01	3.599e-06	4.514e-02	2.917e-06	4.503e-02	4.272e+51	4.514e-02
12.040	12.052	1.168e-02	2.459e-02	0.565	9.678e-01	4.312e-06	5.408e-02	3.494e-06	5.394e-02	5.119e+51	5.408e-02
12.030	12.040	1.020e-02	2.147e-02	0.578	9.900e-01	3.925e-06	4.923e-02	3.180e-06	4.908e-02	4.659e+51	4.923e-02
12.025	12.029	4.446e-03	9.361e-03	0.583	1.000e+00	1.763e-06	2.211e-02	1.428e-06	2.204e-02	2.093e+51	2.211e-02
