Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.505e-04	1.073e-01	1.247e-01	1.150e-04	1.336e-04	80	30	50	0.375	935.006	935.747	12.534	14.559
3.510e-04	5.119e-04	1.275e-01	1.536e-01	1.367e-04	1.645e-04	130	48	82	0.369	935.751	936.819	14.663	17.642
5.126e-04	8.082e-04	1.560e-01	1.954e-01	1.671e-04	2.091e-04	132	48	84	0.364	936.823	938.395	17.655	22.087
8.094e-04	8.348e-04	2.133e-01	2.166e-01	2.282e-04	2.317e-04	138	46	92	0.333	938.400	938.511	22.092	22.432
8.360e-04	8.422e-04	2.199e-01	2.207e-01	2.352e-04	2.360e-04	146	48	98	0.329	938.516	938.542	22.459	22.541
8.435e-04	8.868e-04	2.209e-01	2.264e-01	2.362e-04	2.421e-04	140	46	94	0.329	938.548	938.729	22.546	23.110
8.881e-04	9.532e-04	2.297e-01	2.378e-01	2.456e-04	2.543e-04	148	48	100	0.324	938.734	938.995	23.138	23.959
9.546e-04	1.008e-03	2.413e-01	2.479e-01	2.579e-04	2.650e-04	150	48	102	0.320	939.000	939.205	23.977	24.630
1.010e-03	1.061e-03	2.509e-01	2.573e-01	2.683e-04	2.750e-04	158	50	108	0.316	939.210	939.401	24.660	25.277
1.063e-03	1.106e-03	2.607e-01	2.659e-01	2.787e-04	2.842e-04	160	50	110	0.312	939.407	939.560	25.295	25.796
