 Symbol     Z      N      A               be           Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -30.636386               -6.537177               -7.367688             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.804649                4.842224              2.129531             2.121250               2.125395              -0.008281              2.284907           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -34.624301              -15.261305               -1.718873             0.000000             0.000001               0.000001               0.000000                   0.000000                      0.000000                   5.053422                2.511651              2.040672             2.629575               2.449059               0.588903              2.175808           No_Data         No_Data        5.670895       3.987915            No_Data            
   He       2      6      8            -36.067065              -21.129379               -0.119390             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.793817                2.405956              2.058241             2.946318               2.751306               0.888077              2.165654           No_Data         No_Data        3.180186       1.442764            No_Data            
   Be       4      2      6            -32.047024               -0.122564              -15.844127             0.000002             0.000001               0.000002               0.000001                   0.000000                      0.000001                   2.362056                5.058280              2.680528             2.043538               2.486397              -0.636990              2.815880          4.288671        1.410638         No_Data        No_Data            No_Data            
   Be       4      4      8            -52.910576               -7.366738               -9.104302             0.000002             0.000002               0.000002               0.000001                   0.000000                      0.000001                   2.873662                2.923669              2.377604             2.360992               2.369313              -0.016612              2.517717         13.106680       18.286275       14.422750      20.863552           6.025810            
   Be       4      6      10           -67.429791              -13.700424               -5.506767             0.000002             0.000001               0.000001               0.000000                   0.000000                      0.000001                   2.734991                2.825894              2.330886             2.580291               2.483536               0.249405              2.461885         19.445767       31.362726       10.134389      14.519215          -4.505490            
   Be       4      8      12           -74.407678              -18.397525               -1.823439             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000001                   2.741194                2.615408              2.357826             2.838271               2.687682               0.480445              2.475711         23.693829       39.939962        6.209595       6.977887         -10.040613            
   C        6      4      10           -63.125432               -3.055714              -15.324984             0.000001             0.000002               0.000001               0.000001                   0.000000                      0.000001                   2.739393                2.771720              2.619143             2.326164               2.506065              -0.292979              2.753999          7.913956       10.214856       20.468506      33.380665          -2.778408            
   C        6      6      12           -90.305220               -8.419652              -10.967612             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.859121                2.927963              2.520623             2.501213               2.510937              -0.019410              2.653194         14.234771       22.875429       16.439735      27.179788          -9.094644            
   C        6      8      14          -106.880517              -13.310966               -6.030818             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.766548                2.766528              2.523474             2.693833               2.622178               0.170359              2.648607         18.990291       32.472839       11.134894      16.575297         -11.150726            
   C        6      10     16          -113.095226              -17.359336               -2.988302             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.701498                1.925190              2.542850             2.898949               2.770781               0.356099              2.659809         22.619753       39.961053        5.453214       6.214709         -10.387548            
   C        6      12     18          -117.794708              -20.757701               -2.175178            -0.000002            -0.000003              -0.000003              -0.000001                  -0.000004                     -0.000005                   2.620441                1.952977              2.563773             3.083178               2.920326               0.519405              2.672589         25.751987       46.342992        4.288825       4.699482         -16.360535            
   C        6      14     20          -121.753378              -23.709629               -1.377745            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.491317                1.901327              2.586094             3.251684               3.067210               0.665590              2.686816         28.465185       51.970293        3.906487       3.958670         -22.001662            
   C        6      16     22          -123.753608              -26.134074               -0.113658            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.372379                1.940245              2.616134             3.409233               3.212411               0.793099              2.708608         30.829812       56.930627        2.920901       2.000230         -25.670523            
   O        8      4      12           -64.701610                1.041559              -19.655666             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.378343                2.779435              2.917842             2.358290               2.744032              -0.559552              3.042655          3.346957        1.576178       24.253824      41.019399          -6.656843            
   O        8      6      14          -101.084013               -2.834608              -15.775381             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.679206                2.808666              2.732945             2.513475               2.641121              -0.219470              2.860754          8.158560       10.778793       20.985252      36.382403          -9.658581            
   O        8      8      16          -127.368236               -7.131499              -10.427550             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.705472                2.808338              2.692906             2.669145               2.681052              -0.023761              2.817382         12.979869       20.487719       15.950614      26.284223          -8.763016            
   O        8      10     18          -141.963546              -11.091641               -6.788845             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.683473                2.026072              2.688343             2.828359               2.767004               0.140016              2.807857         17.126646       28.868320        9.714860      14.595310          -6.783029            
