rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.884e-07	3.006e-11	7.945e-07	4.364e+46	7.884e-07
12.452	12.490	3.794e-02	8.043e-02	0.059	1.018e-01	4.432e-09	9.507e-05	3.623e-09	9.577e-05	5.262e+48	9.507e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.194e-06	1.979e-10	5.231e-06	2.875e+47	5.194e-06
12.412	12.451	3.854e-02	8.171e-02	0.107	1.849e-01	3.315e-08	7.111e-04	2.708e-08	7.158e-04	3.936e+49	7.111e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.923e-01	5.977e-09	1.282e-04	4.881e-09	1.290e-04	7.096e+48	1.282e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.382e-03	5.260e-08	1.390e-03	7.649e+49	1.382e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	1.006e-02	3.826e-07	1.011e-02	5.569e+50	1.006e-02
12.270	12.325	5.507e-02	1.167e-01	0.281	4.855e-01	1.224e-06	2.625e-02	9.970e-07	2.635e-02	1.453e+51	2.625e-02
12.214	12.270	5.596e-02	1.186e-01	0.350	6.044e-01	2.775e-06	5.952e-02	2.258e-06	5.968e-02	3.294e+51	5.952e-02
12.165	12.214	4.910e-02	1.041e-01	0.411	7.088e-01	4.637e-06	9.946e-02	3.769e-06	9.962e-02	5.505e+51	9.946e-02
12.150	12.165	1.518e-02	3.219e-02	0.430	7.413e-01	2.031e-06	4.357e-02	1.650e-06	4.362e-02	2.412e+51	4.357e-02
12.120	12.150	2.983e-02	6.324e-02	0.466	8.049e-01	5.215e-06	1.119e-01	4.234e-06	1.119e-01	6.191e+51	1.119e-01
12.081	12.120	3.837e-02	8.133e-02	0.514	8.868e-01	9.530e-06	2.044e-01	7.732e-06	2.044e-01	1.131e+52	2.044e-01
12.054	12.081	2.689e-02	5.700e-02	0.547	9.443e-01	9.169e-06	1.967e-01	7.434e-06	1.965e-01	1.088e+52	1.967e-01
12.033	12.054	2.132e-02	4.520e-02	0.574	9.900e-01	9.031e-06	1.937e-01	7.318e-06	1.934e-01	1.072e+52	1.937e-01
12.028	12.033	4.562e-03	9.671e-03	0.579	1.000e+00	2.215e-06	4.751e-02	1.794e-06	4.743e-02	2.629e+51	4.751e-02
