Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.423e-04	1.073e-01	1.232e-01	1.150e-04	1.321e-04	80	30	50	0.375	935.006	935.685	12.534	14.391
3.429e-04	4.833e-04	1.294e-01	1.533e-01	1.387e-04	1.642e-04	128	46	82	0.359	935.689	936.616	14.485	17.141
4.840e-04	5.844e-04	1.578e-01	1.732e-01	1.690e-04	1.854e-04	126	44	82	0.349	936.621	937.188	17.143	18.808
5.853e-04	7.026e-04	1.786e-01	1.955e-01	1.912e-04	2.092e-04	124	42	82	0.339	937.192	937.778	18.811	20.583
7.037e-04	8.738e-04	2.020e-01	2.249e-01	2.161e-04	2.405e-04	122	40	82	0.328	937.783	938.528	20.586	22.908
8.751e-04	1.004e-03	2.329e-01	2.493e-01	2.491e-04	2.665e-04	120	38	82	0.317	938.534	939.032	22.913	24.518
1.005e-03	1.126e-03	2.536e-01	2.683e-01	2.712e-04	2.868e-04	122	38	84	0.311	939.038	939.470	24.535	25.951
1.128e-03	1.153e-03	2.774e-01	2.804e-01	2.964e-04	2.997e-04	126	38	88	0.302	939.476	939.561	25.970	26.255
