rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.490	12.500	1.027e-02	2.177e-02	0.013	2.167e-02	3.676e-11	7.815e-07	3.006e-11	7.875e-07	4.364e+46	7.815e-07
12.452	12.490	3.794e-02	8.043e-02	0.059	1.018e-01	4.432e-09	9.424e-05	3.623e-09	9.493e-05	5.262e+48	9.424e-05
12.451	12.452	7.507e-04	1.591e-03	0.060	1.034e-01	2.421e-10	5.149e-06	1.979e-10	5.185e-06	2.875e+47	5.149e-06
12.412	12.451	3.854e-02	8.171e-02	0.107	1.849e-01	3.315e-08	7.049e-04	2.708e-08	7.096e-04	3.936e+49	7.049e-04
12.409	12.412	3.452e-03	7.318e-03	0.111	1.923e-01	5.977e-09	1.271e-04	4.881e-09	1.279e-04	7.096e+48	1.271e-04
12.385	12.409	2.389e-02	5.064e-02	0.141	2.428e-01	6.443e-08	1.370e-03	5.260e-08	1.378e-03	7.649e+49	1.370e-03
12.326	12.385	5.945e-02	1.260e-01	0.214	3.687e-01	4.691e-07	9.974e-03	3.826e-07	1.002e-02	5.569e+50	9.974e-03
12.270	12.325	5.507e-02	1.168e-01	0.281	4.855e-01	1.224e-06	2.602e-02	9.970e-07	2.612e-02	1.453e+51	2.602e-02
12.238	12.270	3.243e-02	6.875e-02	0.321	5.545e-01	1.371e-06	2.915e-02	1.116e-06	2.924e-02	1.628e+51	2.915e-02
12.219	12.238	1.898e-02	4.025e-02	0.345	5.949e-01	1.123e-06	2.388e-02	9.136e-07	2.394e-02	1.333e+51	2.388e-02
12.178	12.219	4.087e-02	8.665e-02	0.395	6.819e-01	3.527e-06	7.500e-02	2.868e-06	7.513e-02	4.187e+51	7.500e-02
12.157	12.178	2.096e-02	4.443e-02	0.421	7.266e-01	2.563e-06	5.449e-02	2.082e-06	5.456e-02	3.042e+51	5.449e-02
12.148	12.157	8.927e-03	1.892e-02	0.432	7.458e-01	1.273e-06	2.707e-02	1.034e-06	2.710e-02	1.512e+51	2.707e-02
12.137	12.148	1.048e-02	2.223e-02	0.445	7.684e-01	1.678e-06	3.569e-02	1.363e-06	3.571e-02	1.992e+51	3.569e-02
12.134	12.137	2.751e-03	5.832e-03	0.449	7.745e-01	4.711e-07	1.002e-02	3.825e-07	1.002e-02	5.592e+50	1.002e-02
12.113	12.134	2.083e-02	4.415e-02	0.475	8.190e-01	4.083e-06	8.681e-02	3.314e-06	8.684e-02	4.847e+51	8.681e-02
12.092	12.113	2.151e-02	4.559e-02	0.501	8.650e-01	5.249e-06	1.116e-01	4.259e-06	1.116e-01	6.231e+51	1.116e-01
12.066	12.092	2.546e-02	5.397e-02	0.533	9.194e-01	7.832e-06	1.665e-01	6.352e-06	1.664e-01	9.299e+51	1.665e-01
12.043	12.066	2.326e-02	4.932e-02	0.562	9.692e-01	9.001e-06	1.914e-01	7.296e-06	1.912e-01	1.069e+52	1.914e-01
12.038	12.043	5.066e-03	1.074e-02	0.568	9.803e-01	2.249e-06	4.783e-02	1.823e-06	4.776e-02	2.670e+51	4.783e-02
12.036	12.037	1.306e-03	2.769e-03	0.570	9.834e-01	6.129e-07	1.303e-02	4.966e-07	1.301e-02	7.277e+50	1.303e-02
12.029	12.036	6.639e-03	1.407e-02	0.578	9.978e-01	3.273e-06	6.959e-02	2.652e-06	6.947e-02	3.885e+51	6.959e-02
12.028	12.029	8.941e-04	1.896e-03	0.579	1.000e+00	4.693e-07	9.978e-03	3.802e-07	9.960e-03	5.571e+50	9.978e-03
