Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.549e-07	2.986e-03	5.776e-03	3.210e-06	6.209e-06	56	26	30	0.464	930.333	930.406	0.617	0.842
3.554e-07	1.412e-05	6.004e-03	2.490e-02	6.453e-06	2.676e-05	62	28	34	0.452	930.406	931.211	0.848	2.854
1.414e-05	3.535e-05	2.640e-02	4.028e-02	2.837e-05	4.327e-05	88	38	50	0.432	931.212	931.804	2.892	4.371
3.541e-05	9.131e-05	4.151e-02	6.519e-02	4.458e-05	6.998e-05	86	36	50	0.419	931.805	932.780	4.366	6.825
9.144e-05	1.874e-04	6.738e-02	9.545e-02	7.233e-05	1.024e-04	84	34	50	0.405	932.782	933.880	6.821	9.644
1.877e-04	2.802e-04	9.897e-02	1.204e-01	1.062e-04	1.291e-04	82	32	50	0.390	933.882	934.669	9.640	11.720
2.806e-04	4.353e-04	1.252e-01	1.552e-01	1.342e-04	1.663e-04	132	50	82	0.379	934.672	935.701	11.822	14.642
4.359e-04	4.411e-04	1.592e-01	1.601e-01	1.706e-04	1.716e-04	130	48	82	0.369	935.705	935.735	14.643	14.727
4.417e-04	6.498e-04	1.645e-01	1.989e-01	1.763e-04	2.130e-04	128	46	82	0.359	935.739	936.808	14.727	17.794
6.508e-04	7.755e-04	2.048e-01	2.233e-01	2.193e-04	2.390e-04	126	44	82	0.349	936.812	937.357	17.796	19.397
7.767e-04	7.824e-04	2.270e-01	2.278e-01	2.430e-04	2.439e-04	128	44	84	0.344	937.361	937.385	19.412	19.482
7.836e-04	8.947e-04	2.312e-01	2.469e-01	2.475e-04	2.642e-04	124	42	82	0.339	937.390	937.824	19.484	20.799
8.960e-04	9.066e-04	2.511e-01	2.525e-01	2.687e-04	2.702e-04	126	42	84	0.333	937.829	937.868	20.814	20.935
9.079e-04	1.022e-03	2.576e-01	2.732e-01	2.757e-04	2.922e-04	86	28	58	0.326	937.873	938.273	20.859	22.110
1.023e-03	1.182e-03	2.797e-01	3.005e-01	2.992e-04	3.214e-04	88	28	60	0.318	938.278	938.790	22.126	23.764
1.184e-03	1.285e-03	3.076e-01	3.205e-01	3.289e-04	3.426e-04	90	28	62	0.311	938.796	939.099	23.781	24.772
1.287e-03	1.293e-03	3.304e-01	3.311e-01	3.532e-04	3.540e-04	132	40	92	0.303	939.104	939.121	24.873	24.928
1.295e-03	1.342e-03	3.364e-01	3.424e-01	3.596e-04	3.660e-04	134	40	94	0.299	939.126	939.254	24.946	25.385
1.344e-03	1.356e-03	3.486e-01	3.502e-01	3.726e-04	3.742e-04	170	50	120	0.294	939.260	939.292	25.467	25.578
1.358e-03	1.436e-03	3.546e-01	3.645e-01	3.789e-04	3.895e-04	172	50	122	0.291	939.297	939.500	25.597	26.314
1.438e-03	1.461e-03	3.691e-01	3.720e-01	3.944e-04	3.975e-04	174	50	124	0.287	939.506	939.565	26.333	26.544
