rmin[km]	rmax[km]	DRlayer[km]	DRlayer_DRcr	zlayer[km]	zlayer_zdrip	Mblayer[solarmass]	Mblayer_Mbcr	Mlayer[solarmass]	Mlayer_Mcr	DNlayer	DNlayer_DN
12.495	12.500	4.892e-03	1.030e-02	0.006	1.025e-02	2.855e-08	3.505e-04	2.336e-08	3.528e-04	3.390e+49	3.505e-04
12.448	12.495	4.755e-02	1.001e-01	0.064	1.099e-01	1.016e-06	1.247e-02	8.306e-07	1.255e-02	1.206e+51	1.247e-02
12.444	12.448	3.257e-03	6.856e-03	0.068	1.168e-01	1.161e-07	1.425e-03	9.490e-08	1.433e-03	1.379e+50	1.425e-03
12.424	12.444	1.989e-02	4.186e-02	0.093	1.587e-01	8.521e-07	1.046e-02	6.962e-07	1.051e-02	1.012e+51	1.046e-02
12.372	12.424	5.179e-02	1.090e-01	0.156	2.675e-01	3.341e-06	4.101e-02	2.728e-06	4.120e-02	3.967e+51	4.101e-02
12.315	12.372	5.761e-02	1.213e-01	0.227	3.888e-01	5.709e-06	7.007e-02	4.655e-06	7.032e-02	6.778e+51	7.007e-02
12.261	12.315	5.328e-02	1.121e-01	0.292	5.011e-01	7.327e-06	8.994e-02	5.969e-06	9.015e-02	8.699e+51	8.994e-02
12.213	12.261	4.851e-02	1.021e-01	0.352	6.037e-01	8.605e-06	1.056e-01	7.002e-06	1.058e-01	1.022e+52	1.056e-01
12.138	12.212	7.454e-02	1.569e-01	0.444	7.613e-01	1.718e-05	2.108e-01	1.396e-05	2.108e-01	2.039e+52	2.108e-01
12.123	12.138	1.439e-02	3.029e-02	0.462	7.921e-01	3.919e-06	4.811e-02	3.182e-06	4.806e-02	4.653e+51	4.811e-02
12.093	12.123	3.026e-02	6.370e-02	0.500	8.566e-01	9.062e-06	1.112e-01	7.354e-06	1.111e-01	1.076e+52	1.112e-01
12.038	12.093	5.487e-02	1.155e-01	0.568	9.731e-01	1.904e-05	2.337e-01	1.544e-05	2.332e-01	2.261e+52	2.337e-01
12.025	12.037	1.244e-02	2.619e-02	0.584	1.000e+00	4.862e-06	5.967e-02	3.939e-06	5.949e-02	5.772e+51	5.967e-02
