Pmin[MeVfm**(-3)]	Pmax[MeVfm**(-3)]	etotmin[MeVfm**(-3)]	etotmax[MeVfm**(-3)]	nbmin[fm**(-3)]	nbmax[fm**(-3)]	A	Z	N	Z/A	mu_bmin[MeV]	mu_bmax[MeV]	mu_emin[MeV]	mu_emax[MeV]
6.082e-15	3.136e-07	2.271e-03	4.693e-03	2.441e-06	5.044e-06	56	26	30	0.464	930.340	930.420	0.608	0.851
3.141e-07	1.227e-05	4.872e-03	2.061e-02	5.237e-06	2.215e-05	62	28	34	0.452	930.420	931.271	0.856	2.949
1.229e-05	2.680e-05	2.182e-02	3.130e-02	2.345e-05	3.362e-05	88	38	50	0.432	931.271	931.779	2.985	4.248
2.684e-05	7.056e-05	3.226e-02	5.115e-02	3.465e-05	5.492e-05	86	36	50	0.419	931.781	932.756	4.243	6.696
7.066e-05	1.461e-04	5.288e-02	7.526e-02	5.676e-05	8.074e-05	84	34	50	0.405	932.758	933.855	6.692	9.505
1.463e-04	2.436e-04	7.804e-02	1.002e-01	8.372e-05	1.074e-04	82	32	50	0.390	933.857	934.875	9.502	12.188
2.439e-04	2.580e-04	1.041e-01	1.069e-01	1.116e-04	1.147e-04	132	50	82	0.379	934.878	935.002	12.283	12.623
2.584e-04	3.505e-04	1.073e-01	1.247e-01	1.150e-04	1.336e-04	80	30	50	0.375	935.006	935.747	12.534	14.559
3.510e-04	3.745e-04	1.275e-01	1.317e-01	1.367e-04	1.411e-04	130	48	82	0.369	935.751	935.920	14.663	15.136
3.751e-04	5.478e-04	1.346e-01	1.623e-01	1.442e-04	1.738e-04	78	28	50	0.359	935.924	937.010	15.041	18.127
5.486e-04	6.605e-04	1.678e-01	1.840e-01	1.797e-04	1.969e-04	126	44	82	0.349	937.014	937.608	18.231	19.976
6.614e-04	7.905e-04	1.897e-01	2.072e-01	2.030e-04	2.217e-04	124	42	82	0.339	937.613	938.221	19.979	21.814
7.917e-04	1.066e-03	2.141e-01	2.482e-01	2.291e-04	2.654e-04	122	40	82	0.328	938.226	939.336	21.819	25.273
1.068e-03	1.129e-03	2.571e-01	2.643e-01	2.748e-04	2.825e-04	120	38	82	0.317	939.342	939.563	25.279	25.989
